case_number,date,incident_id,latitude,longitude,location_1,location_2,updated,x_coord,y_coord
161884,2016-01-01T00:00:00.000,1,41.644286,-87.940101,-87.940101,41.644286,2016-01-01T00:00:00.000,1000000,1800000
ZZ146504,2016-10-05T00:00:00.000,20000000,42.023135,-87.523661,-87.523661,42.023135,2016-10-05T00:00:00.000,1250000,2000000
