arrest,beat,block,community_area,description,district,domestic,fbi_code,iucr,location_description,location_type,primary_type,ward,year
,,017XX N RICHMOND ST,,,,,,,,,,,
,,017XX N RIDGEWAY AVE,,,,,,,,,,,
,,017XX N ROCKWELL ST,,,,,,,,,,,
,,017XX N RUTHERFORD AVE,,,,,,,,,,,
,,017XX N SAWYER AVE,,,,,,,,,,,
,,017XX N SEDGWICK ST,,,,,,,,,,,
,,017XX N SHEFFIELD AVE,,,,,,,,,,,
,,017XX N SPAULDING AVE,,,,,,,,,,,
,,017XX N SPRINGFIELD AVE,,,,,,,,,,,
,,017XX N ST LOUIS AVE,,,,,,,,,,,
,,017XX N STOCKTON DR,,,,,,,,,,,
,,017XX N TALMAN AVE,,,,,,,,,,,
,,017XX N THROOP ST,,,,,,,,,,,
,,017XX N TRIPP AVE,,,,,,,,,,,
,,017XX N TROY ST,,,,,,,,,,,
,,017XX N WASHTENAW AVE,,,,,,,,,,,
,,017XX N WELLS ST,,,,,,,,,,,
,,017XX N WESTERN AVE,,,,,,,,,,,
,,017XX N WHIPPLE ST,,,,,,,,,,,
,,017XX N WILMOT AVE,,,,,,,,,,,
,,017XX N WINCHESTER AVE,,,,,,,,,,,
,,017XX N WINNEBAGO AVE,,,,,,,,,,,
,,017XX N WOLCOTT AVE,,,,,,,,,,,
,,017XX N WOOD ST,,,,,,,,,,,
,,017XX S ASHLAND AVE,,,,,,,,,,,
,,017XX S CARPENTER ST,,,,,,,,,,,
,,017XX S CHRISTIANA AVE,,,,,,,,,,,
,,017XX S CLARK ST,,,,,,,,,,,
,,017XX S CLINTON ST,,,,,,,,,,,
,,017XX S DAMEN AVE,,,,,,,,,,,
,,017XX S DESPLAINES ST,,,,,,,,,,,
,,017XX S HALSTED ST,,,,,,,,,,,
,,017XX S HOYNE AVE,,,,,,,,,,,
,,017XX S INDIANA AVE,,,,,,,,,,,
,,017XX S JEFFERSON ST,,,,,,,,,,,
,,017XX S KARLOV AVE,,,,,,,,,,,
,,017XX S KEDZIE AVE,,,,,,,,,,,
,,017XX S KILDARE AVE,,,,,,,,,,,
,,017XX S KOMENSKY AVE,,,,,,,,,,,
,,017XX S LAFLIN ST,,,,,,,,,,,
,,017XX S LAKE SHORE DR E,,,,,,,,,,,
,,017XX S LEAVITT ST,,,,,,,,,,,
,,017XX S LOOMIS ST,,,,,,,,,,,
,,017XX S MARSHFIELD AVE,,,,,,,,,,,
,,017XX S MICHIGAN AVE,,,,,,,,,,,
,,017XX S MILLER ST,,,,,,,,,,,
,,017XX S MORGAN ST,,,,,,,,,,,
,,017XX S MUSEUM CAMPUS DR,,,,,,,,,,,
,,017XX S NEWBERRY AVE,,,,,,,,,,,
,,017XX S PAULINA ST,,,,,,,,,,,
,,017XX S PULASKI RD,,,,,,,,,,,
,,017XX S RACINE AVE,,,,,,,,,,,
,,017XX S ROCKWELL ST,,,,,,,,,,,
,,017XX S RUBLE ST,,,,,,,,,,,
,,017XX S SPAULDING AVE,,,,,,,,,,,
,,017XX S SPRINGFIELD AVE,,,,,,,,,,,
,,017XX S STATE ST,,,,,,,,,,,
,,017XX S STEWART AVE,,,,,,,,,,,
,,017XX S TROY ST,,,,,,,,,,,
,,017XX S UNION AVE,,,,,,,,,,,
,,017XX S WABASH AVE,,,,,,,,,,,
,,017XX S WENTWORTH ST,,,,,,,,,,,
,,017XX S WESTERN AVE,,,,,,,,,,,
,,017XX S WOLCOTT AVE,,,,,,,,,,,
,,017XX S WOOD ST,,,,,,,,,,,
,,017XX W 100TH PL,,,,,,,,,,,
,,017XX W 101ST ST,,,,,,,,,,,
,,017XX W 103RD ST,,,,,,,,,,,
,,017XX W 104TH ST,,,,,,,,,,,
,,017XX W 105TH PL,,,,,,,,,,,
,,017XX W 105TH ST,,,,,,,,,,,
,,017XX W 106TH PL,,,,,,,,,,,
,,017XX W 106TH ST,,,,,,,,,,,
,,017XX W 119TH ST,,,,,,,,,,,
,,017XX W 13TH ST,,,,,,,,,,,
,,017XX W 16TH ST,,,,,,,,,,,
,,017XX W 17TH ST,,,,,,,,,,,
,,017XX W 18TH PL,,,,,,,,,,,
,,017XX W 18TH ST,,,,,,,,,,,
,,017XX W 19TH ST,,,,,,,,,,,
,,017XX W 21ST PL,,,,,,,,,,,
,,017XX W 21ST ST,,,,,,,,,,,
,,017XX W 31ST PL,,,,,,,,,,,
,,017XX W 33RD PL,,,,,,,,,,,
,,017XX W 33RD ST,,,,,,,,,,,
,,017XX W 35TH ST,,,,,,,,,,,
,,017XX W 36TH ST,,,,,,,,,,,
,,017XX W 37TH ST,,,,,,,,,,,
,,017XX W 38TH ST,,,,,,,,,,,
,,017XX W 43RD ST,,,,,,,,,,,
,,017XX W 44TH ST,,,,,,,,,,,
,,017XX W 45TH ST,,,,,,,,,,,
,,017XX W 46TH ST,,,,,,,,,,,
,,017XX W 47TH ST,,,,,,,,,,,
,,017XX W 48TH ST,,,,,,,,,,,
,,017XX W 49TH ST,,,,,,,,,,,
,,017XX W 50TH ST,,,,,,,,,,,
,,017XX W 51ST ST,,,,,,,,,,,
,,017XX W 56TH ST,,,,,,,,,,,
,,017XX W 57TH ST,,,,,,,,,,,
,,017XX W 58TH ST,,,,,,,,,,,
,,017XX W 59TH ST,,,,,,,,,,,
,,017XX W 61ST ST,,,,,,,,,,,
,,017XX W 63RD ST,,,,,,,,,,,
,,017XX W 65TH ST,,,,,,,,,,,
,,017XX W 66TH ST,,,,,,,,,,,
,,017XX W 68TH ST,,,,,,,,,,,
,,017XX W 69TH ST,,,,,,,,,,,
,,017XX W 70TH ST,,,,,,,,,,,
,,017XX W 71ST ST,,,,,,,,,,,
,,017XX W 72ND ST,,,,,,,,,,,
,,017XX W 73RD ST,,,,,,,,,,,
,,017XX W 75TH PL,,,,,,,,,,,
,,017XX W 76TH ST,,,,,,,,,,,
,,017XX W 77TH ST,,,,,,,,,,,
,,017XX W 78TH ST,,,,,,,,,,,
,,017XX W 79TH ST,,,,,,,,,,,
,,017XX W 80TH ST,,,,,,,,,,,
,,017XX W 81ST ST,,,,,,,,,,,
,,017XX W 82ND ST,,,,,,,,,,,
,,017XX W 83RD ST,,,,,,,,,,,
,,017XX W 84TH ST,,,,,,,,,,,
,,017XX W 85TH ST,,,,,,,,,,,
,,017XX W 87TH ST,,,,,,,,,,,
,,017XX W 88TH ST,,,,,,,,,,,
,,017XX W 89TH ST,,,,,,,,,,,
,,017XX W 90TH PL,,,,,,,,,,,
,,017XX W 90TH ST,,,,,,,,,,,
,,017XX W 91ST PL,,,,,,,,,,,
,,017XX W 91ST ST,,,,,,,,,,,
,,017XX W 92ND ST,,,,,,,,,,,
,,017XX W 94TH ST,,,,,,,,,,,
,,017XX W 95TH PL,,,,,,,,,,,
,,017XX W 95TH ST,,,,,,,,,,,
,,017XX W 99TH ST,,,,,,,,,,,
,,017XX W ADAMS ST,,,,,,,,,,,
,,017XX W ADDISON ST,,,,,,,,,,,
,,017XX W AINSLIE ST,,,,,,,,,,,
,,017XX W ALBION AVE,,,,,,,,,,,
,,017XX W ALTGELD ST,,,,,,,,,,,
,,017XX W ARMITAGE AVE,,,,,,,,,,,
,,017XX W ARTHUR AVE,,,,,,,,,,,
,,017XX W AUGUSTA BLVD,,,,,,,,,,,
,,017XX W Addison St,,,,,,,,,,,
,,017XX W BALMORAL AVE,,,,,,,,,,,
,,017XX W BARRY AVE,,,,,,,,,,,
,,017XX W BEACH AVE,,,,,,,,,,,
,,017XX W BELLE PLAINE AVE,,,,,,,,,,,
,,017XX W BELMONT AVE,,,,,,,,,,,
,,017XX W BERTEAU AVE,,,,,,,,,,,
,,017XX W BERWYN AVE,,,,,,,,,,,
,,017XX W BEVERLY GLEN PKWY,,,,,,,,,,,
,,017XX W BLOOMINGDALE AVE,,,,,,,,,,,
,,017XX W BYRON ST,,,,,,,,,,,
,,017XX W CARROLL AVE,,,,,,,,,,,
,,017XX W CATALPA AVE,,,,,,,,,,,
,,017XX W CERMAK RD,,,,,,,,,,,
,,017XX W CHASE AVE,,,,,,,,,,,
,,017XX W CHICAGO AVE,,,,,,,,,,,
,,017XX W CONGRESS PKWY,,,,,,,,,,,
,,017XX W CORNELIA AVE,,,,,,,,,,,
,,017XX W CORTLAND ST,,,,,,,,,,,
,,017XX W CRYSTAL ST,,,,,,,,,,,
,,017XX W CULLERTON ST,,,,,,,,,,,
,,017XX W DEVON AVE,,,,,,,,,,,
,,017XX W DIVERSEY PKWY,,,,,,,,,,,
,,017XX W DIVISION ST,,,,,,,,,,,
,,017XX W EDMAIRE ST,,,,,,,,,,,
,,017XX W ELLEN ST,,,,,,,,,,,
,,017XX W ERIE ST,,,,,,,,,,,
,,017XX W ESTES AVE,,,,,,,,,,,
,,017XX W FARRAGUT AVE,,,,,,,,,,,
,,017XX W FARWELL AVE,,,,,,,,,,,
,,017XX W FLETCHER ST,,,,,,,,,,,
,,017XX W FOSTER AVE,,,,,,,,,,,
,,017XX W FULLERTON AVE,,,,,,,,,,,
,,017XX W FULTON ST,,,,,,,,,,,
,,017XX W GARFIELD BLVD,,,,,,,,,,,
,,017XX W GEORGE ST,,,,,,,,,,,
,,017XX W GLENLAKE AVE,,,,,,,,,,,
,,017XX W GRACE ST,,,,,,,,,,,
,,017XX W GRAND AVE,,,,,,,,,,,
,,017XX W GRANVILLE AVE,,,,,,,,,,,
,,017XX W GREENLEAF AVE,,,,,,,,,,,
,,017XX W GREGORY ST,,,,,,,,,,,
,,017XX W HADDON AVE,,,,,,,,,,,
,,017XX W HARRISON ST,,,,,,,,,,,
,,017XX W HENDERSON ST,,,,,,,,,,,
,,017XX W HIGHLAND AVE,,,,,,,,,,,
,,017XX W HOWARD ST,,,,,,,,,,,
,,017XX W HUBBARD ST,,,,,,,,,,,
,,017XX W HURON ST,,,,,,,,,,,
,,017XX W Henderson St,,,,,,,,,,,
,,017XX W IRVING PARK RD,,,,,,,,,,,
,,017XX W JACKSON BLVD,,,,,,,,,,,
,,017XX W JARVIS AVE,,,,,,,,,,,
,,017XX W JONQUIL TER,,,,,,,,,,,
,,017XX W JULIAN ST,,,,,,,,,,,
,,017XX W JUNEWAY TER,,,,,,,,,,,
,,017XX W LAKE ST,,,,,,,,,,,
,,017XX W LAWRENCE AVE,,,,,,,,,,,
,,017XX W LE MOYNE ST,,,,,,,,,,,
,,017XX W LELAND AVE,,,,,,,,,,,
,,017XX W LUNT AVE,,,,,,,,,,,
,,017XX W MADISON ST,,,,,,,,,,,
,,017XX W MARQUETTE RD,,,,,,,,,,,
,,017XX W MAYPOLE AVE,,,,,,,,,,,
,,017XX W MELROSE ST,,,,,,,,,,,
,,017XX W MONROE ST,,,,,,,,,,,
,,017XX W MONTEREY AVE,,,,,,,,,,,
,,017XX W MONTROSE AVE,,,,,,,,,,,
,,017XX W MONTVALE AVE,,,,,,,,,,,
,,017XX W MORSE AVE,,,,,,,,,,,
,,017XX W Morse Ave,,,,,,,,,,,
,,017XX W NELSON ST,,,,,,,,,,,
,,017XX W NEWPORT AVE,,,,,,,,,,,
,,017XX W NORTH AVE,,,,,,,,,,,
,,017XX W NORTH SHORE AVE,,,,,,,,,,,
,,017XX W OHIO ST,,,,,,,,,,,
,,017XX W OLIVE AVE,,,,,,,,,,,
,,017XX W PEARSON ST,,,,,,,,,,,
,,017XX W PERSHING RD,,,,,,,,,,,
,,017XX W PETERSON AVE,,,,,,,,,,,
,,017XX W PIERCE AVE,,,,,,,,,,,
,,017XX W POLK ST,,,,,,,,,,,
,,017XX W POTOMAC AVE,,,,,,,,,,,
,,017XX W PRATT BLVD,,,,,,,,,,,
,,017XX W PRYOR AVE,,,,,,,,,,,
,,017XX W ROOSEVELT RD,,,,,,,,,,,
,,017XX W ROSCOE ST,,,,,,,,,,,
,,017XX W SCHOOL ST,,,,,,,,,,,
,,017XX W STEUBEN ST,,,,,,,,,,,
,,017XX W SUMMERDALE AVE,,,,,,,,,,,
,,017XX W SUNNYSIDE AVE,,,,,,,,,,,
,,017XX W SUPERIOR ST,,,,,,,,,,,
,,017XX W TAYLOR ST,,,,,,,,,,,
,,017XX W TERRA COTTA PL,,,,,,,,,,,
,,017XX W THOME AVE,,,,,,,,,,,
,,017XX W THORNDALE AVE,,,,,,,,,,,
,,017XX W TOUHY AVE,,,,,,,,,,,
,,017XX W VAN BUREN ST,,,,,,,,,,,
,,017XX W WABANSIA AVE,,,,,,,,,,,
,,017XX W WALLEN AVE,,,,,,,,,,,
,,017XX W WALTER BURLEY GRIFFIN PL,,,,,,,,,,,
,,017XX W WARREN BLVD,,,,,,,,,,,
,,017XX W WASHINGTON BLVD,,,,,,,,,,,
,,017XX W WEBSTER AVE,,,,,,,,,,,
,,017XX W WELLINGTON AVE,,,,,,,,,,,
,,017XX W WILSON AVE,,,,,,,,,,,
,,017XX W WINNEMAC AVE,,,,,,,,,,,
,,017XX W WOLFRAM ST,,,,,,,,,,,
,,017XX W WRIGHTWOOD AVE,,,,,,,,,,,
,,017XX W pierce ave,,,,,,,,,,,
,,018XX E 103RD ST,,,,,,,,,,,
,,018XX E 67TH ST,,,,,,,,,,,
,,018XX E 71ST PL,,,,,,,,,,,
,,018XX E 71ST ST,,,,,,,,,,,
,,018XX E 72ND ST,,,,,,,,,,,
,,018XX E 73RD ST,,,,,,,,,,,
,,018XX E 75TH ST,,,,,,,,,,,
,,018XX E 78TH ST,,,,,,,,,,,
,,018XX E 79TH ST,,,,,,,,,,,
,,018XX E 80TH ST,,,,,,,,,,,
,,018XX E 81ST ST,,,,,,,,,,,
,,018XX E 84TH ST,,,,,,,,,,,
,,018XX E 85TH ST,,,,,,,,,,,
,,018XX E 87TH ST,,,,,,,,,,,
,,018XX E 90TH ST,,,,,,,,,,,
,,018XX E 93RD ST,,,,,,,,,,,
,,018XX E 95TH ST,,,,,,,,,,,
,,018XX E HAYES DR,,,,,,,,,,,
,,018XX N ALBANY AVE,,,,,,,,,,,
,,018XX N ASHLAND AVE,,,,,,,,,,,
,,018XX N AUSTIN AVE,,,,,,,,,,,
,,018XX N BESLY CT,,,,,,,,,,,
,,018XX N BISSELL ST,,,,,,,,,,,
,,018XX N BURLING ST,,,,,,,,,,,
,,018XX N CALIFORNIA AVE,,,,,,,,,,,
,,018XX N CENTRAL AVE,,,,,,,,,,,
,,018XX N CENTRAL PARK AVE,,,,,,,,,,,
,,018XX N CICERO AVE,,,,,,,,,,,
,,018XX N CLARK ST,,,,,,,,,,,
,,018XX N CLEVELAND AVE,,,,,,,,,,,
,,018XX N CLYBOURN AVE,,,,,,,,,,,
,,018XX N DAMEN AVE,,,,,,,,,,,
,,018XX N DAYTON ST,,,,,,,,,,,
,,018XX N DRAKE AVE,,,,,,,,,,,
,,018XX N ELSTON AVE,,,,,,,,,,,
,,018XX N FAIRFIELD AVE,,,,,,,,,,,
,,018XX N FRANCISCO AVE,,,,,,,,,,,
,,018XX N FREMONT ST,,,,,,,,,,,
,,018XX N HALSTED ST,,,,,,,,,,,
,,018XX N HARDING AVE,,,,,,,,,,,
,,018XX N HARLEM AVE,,,,,,,,,,,
,,018XX N HERMITAGE AVE,,,,,,,,,,,
,,018XX N HONORE ST,,,,,,,,,,,
,,018XX N HOWE ST,,,,,,,,,,,
,,018XX N HOYNE AVE,,,,,,,,,,,
,,018XX N HUDSON AVE,,,,,,,,,,,
,,018XX N HUMBOLDT BLVD,,,,,,,,,,,
,,018XX N KARLOV AVE,,,,,,,,,,,
,,018XX N KEDVALE AVE,,,,,,,,,,,
,,018XX N KEDZIE AVE,,,,,,,,,,,
,,018XX N KEELER AVE,,,,,,,,,,,
,,018XX N KEYSTONE AVE,,,,,,,,,,,
,,018XX N KILDARE AVE,,,,,,,,,,,
,,018XX N KIMBALL AVE,,,,,,,,,,,
,,018XX N KINGSBURY ST,,,,,,,,,,,
,,018XX N KOSTNER AVE,,,,,,,,,,,
,,018XX N LA CROSSE AVE,,,,,,,,,,,
,,018XX N LAKE SHORE DR SB,,,,,,,,,,,
,,018XX N LARAMIE AVE,,,,,,,,,,,
,,018XX N LARRABEE ST,,,,,,,,,,,
,,018XX N LAWNDALE AVE,,,,,,,,,,,
,,018XX N LEAVITT ST,,,,,,,,,,,
,,018XX N LECLAIRE AVE,,,,,,,,,,,
,,018XX N LINCOLN AVE,,,,,,,,,,,
,,018XX N LINCOLN PARK WEST,,,,,,,,,,,
,,018XX N LINDER AVE,,,,,,,,,,,
,,018XX N LONG AVE,,,,,,,,,,,
,,018XX N LOREL AVE,,,,,,,,,,,
,,018XX N LOTUS AVE,,,,,,,,,,,
,,018XX N LOWELL AVE,,,,,,,,,,,
,,018XX N LUNA AVE,,,,,,,,,,,
,,018XX N MARCEY ST,,,,,,,,,,,
,,018XX N MARSHFIELD AVE,,,,,,,,,,,
,,018XX N MASON AVE,,,,,,,,,,,
,,018XX N MAUD AVE,,,,,,,,,,,
,,018XX N MAYFIELD AVE,,,,,,,,,,,
,,018XX N MC VICKER AVE,,,,,,,,,,,
,,018XX N MERRIMAC AVE,,,,,,,,,,,
,,018XX N MILWAUKEE AVE,,,,,,,,,,,
,,018XX N MOBILE AVE,,,,,,,,,,,
,,018XX N MOHAWK ST,,,,,,,,,,,
,,018XX N MONITOR AVE,,,,,,,,,,,
,,018XX N MONTICELLO AVE,,,,,,,,,,,
,,018XX N MOZART ST,,,,,,,,,,,
,,018XX N MULLIGAN AVE,,,,,,,,,,,
,,018XX N NAGLE AVE,,,,,,,,,,,
,,018XX N NARRAGANSETT AVE,,,,,,,,,,,
,,018XX N NASHVILLE AVE,,,,,,,,,,,
,,018XX N NATCHEZ AVE,,,,,,,,,,,
,,018XX N NEVA AVE,,,,,,,,,,,
,,018XX N NEW ENGLAND AVE,,,,,,,,,,,
,,018XX N NEWCASTLE AVE,,,,,,,,,,,
,,018XX N NEWLAND AVE,,,,,,,,,,,
,,018XX N NORDICA AVE,,,,,,,,,,,
,,018XX N NORMANDY AVE,,,,,,,,,,,
,,018XX N OAK PARK AVE,,,,,,,,,,,
,,018XX N OAKLEY AVE,,,,,,,,,,,
,,018XX N ORCHARD ST,,,,,,,,,,,
,,018XX N ORLEANS ST,,,,,,,,,,,
,,018XX N PAULINA ST,,,,,,,,,,,
,,018XX N PULASKI RD,,,,,,,,,,,
,,018XX N RICHMOND ST,,,,,,,,,,,
,,018XX N RIDGEWAY AVE,,,,,,,,,,,
,,018XX N ROCKWELL ST,,,,,,,,,,,
,,018XX N RUTHERFORD AVE,,,,,,,,,,,
,,018XX N SAWYER AVE,,,,,,,,,,,
,,018XX N SAYRE AVE,,,,,,,,,,,
,,018XX N SEDGWICK ST,,,,,,,,,,,
,,018XX N SHEFFIELD AVE,,,,,,,,,,,
,,018XX N SPAULDING AVE,,,,,,,,,,,
,,018XX N SPRINGFIELD AVE,,,,,,,,,,,
,,018XX N ST LOUIS AVE,,,,,,,,,,,
,,018XX N TALMAN AVE,,,,,,,,,,,
,,018XX N TRIPP AVE,,,,,,,,,,,
,,018XX N WASHTENAW AVE,,,,,,,,,,,
,,018XX N WELLS ST,,,,,,,,,,,
,,018XX N WESTERN AVE,,,,,,,,,,,
,,018XX N WHIPPLE ST,,,,,,,,,,,
,,018XX N WILMOT AVE,,,,,,,,,,,
,,018XX N WINCHESTER AVE,,,,,,,,,,,
,,018XX N WINNEBAGO AVE,,,,,,,,,,,
,,018XX N WOLCOTT AVE,,,,,,,,,,,
,,018XX N WOOD ST,,,,,,,,,,,
,,018XX S ALBANY AVE,,,,,,,,,,,
,,018XX S ALLPORT ST,,,,,,,,,,,
,,018XX S ASHLAND AVE,,,,,,,,,,,
,,018XX S AVERS AVE,,,,,,,,,,,
,,018XX S BISHOP ST,,,,,,,,,,,
,,018XX S BLUE ISLAND AVE,,,,,,,,,,,
,,018XX S CALIFORNIA AVE,,,,,,,,,,,
,,018XX S CALUMET AVE,,,,,,,,,,,
,,018XX S CANAL ST,,,,,,,,,,,
,,018XX S CANALPORT AVE,,,,,,,,,,,
,,018XX S CARPENTER ST,,,,,,,,,,,
,,018XX S CENTRAL PARK AVE,,,,,,,,,,,
,,018XX S CHRISTIANA AVE,,,,,,,,,,,
,,018XX S CLARK ST,,,,,,,,,,,
,,018XX S DAMEN AVE,,,,,,,,,,,
,,018XX S DEARBORN ST,,,,,,,,,,,
,,018XX S DRAKE AVE,,,,,,,,,,,
,,018XX S FAIRFIELD AVE,,,,,,,,,,,
,,018XX S HALSTED ST,,,,,,,,,,,
,,018XX S HAMLIN AVE,,,,,,,,,,,
,,018XX S HARDING AVE,,,,,,,,,,,
,,018XX S HOMAN AVE,,,,,,,,,,,
,,018XX S HOYNE AVE,,,,,,,,,,,
,,018XX S INDIANA AVE,,,,,,,,,,,
,,018XX S KARLOV AVE,,,,,,,,,,,
,,018XX S KEDZIE AVE,,,,,,,,,,,
,,018XX S KEELER AVE,,,,,,,,,,,
,,018XX S KILDARE AVE,,,,,,,,,,,
,,018XX S KOMENSKY AVE,,,,,,,,,,,
,,018XX S LAFLIN ST,,,,,,,,,,,
,,018XX S LAKE SHORE DR E,,,,,,,,,,,
,,018XX S LAWNDALE AVE,,,,,,,,,,,
,,018XX S LEAVITT ST,,,,,,,,,,,
,,018XX S LOOMIS ST,,,,,,,,,,,
,,018XX S MARSHFIELD AVE,,,,,,,,,,,
,,018XX S MAY ST,,,,,,,,,,,
,,018XX S MELODY CT,,,,,,,,,,,
,,018XX S MICHIGAN AVE,,,,,,,,,,,
,,018XX S MILLARD AVE,,,,,,,,,,,
,,018XX S MORGAN ST,,,,,,,,,,,
,,018XX S NORMAL AVE,,,,,,,,,,,
,,018XX S OAKLEY AVE,,,,,,,,,,,
,,018XX S PAULINA ST,,,,,,,,,,,
,,018XX S PEORIA ST,,,,,,,,,,,
,,018XX S PRAIRIE AVE,,,,,,,,,,,
,,018XX S PULASKI RD,,,,,,,,,,,
,,018XX S RACINE AVE,,,,,,,,,,,
,,018XX S RIDGEWAY AVE,,,,,,,,,,,
,,018XX S RUBLE ST,,,,,,,,,,,
,,018XX S SACRAMENTO DR,,,,,,,,,,,
,,018XX S SAWYER AVE,,,,,,,,,,,
,,018XX S SPAULDING AVE,,,,,,,,,,,
,,018XX S SPRINGFIELD AVE,,,,,,,,,,,
,,018XX S ST LOUIS AVE,,,,,,,,,,,
,,018XX S STATE ST,,,,,,,,,,,
,,018XX S THROOP ST,,,,,,,,,,,
,,018XX S TROY ST,,,,,,,,,,,
,,018XX S TRUMBULL AVE,,,,,,,,,,,
,,018XX S UNION AVE,,,,,,,,,,,
,,018XX S WABASH AVE,,,,,,,,,,,
,,018XX S WENTWORTH AVE,,,,,,,,,,,
,,018XX S WESTERN AVE,,,,,,,,,,,
,,018XX S WOOD ST,,,,,,,,,,,
,,018XX W 103RD ST,,,,,,,,,,,
,,018XX W 104TH ST,,,,,,,,,,,
,,018XX W 105TH ST,,,,,,,,,,,
,,018XX W 107TH PL,,,,,,,,,,,
,,018XX W 115TH ST,,,,,,,,,,,
,,018XX W 119TH ST,,,,,,,,,,,
,,018XX W 16TH ST,,,,,,,,,,,
,,018XX W 17TH ST,,,,,,,,,,,
,,018XX W 18TH ST,,,,,,,,,,,
,,018XX W 19TH ST,,,,,,,,,,,
,,018XX W 21ST PL,,,,,,,,,,,
,,018XX W 21ST ST,,,,,,,,,,,
,,018XX W 22ND PL,,,,,,,,,,,
,,018XX W 34TH PL,,,,,,,,,,,
,,018XX W 35TH ST,,,,,,,,,,,
,,018XX W 37TH ST,,,,,,,,,,,
,,018XX W 43RD ST,,,,,,,,,,,
,,018XX W 44TH ST,,,,,,,,,,,
,,018XX W 45TH ST,,,,,,,,,,,
,,018XX W 46TH ST,,,,,,,,,,,
,,018XX W 47TH ST,,,,,,,,,,,
,,018XX W 48TH ST,,,,,,,,,,,
,,018XX W 49TH ST,,,,,,,,,,,
,,018XX W 50TH ST,,,,,,,,,,,
,,018XX W 51ST ST,,,,,,,,,,,
,,018XX W 52ND ST,,,,,,,,,,,
,,018XX W 54TH ST,,,,,,,,,,,
,,018XX W 58TH ST,,,,,,,,,,,
,,018XX W 59TH ST,,,,,,,,,,,
,,018XX W 60TH ST,,,,,,,,,,,
,,018XX W 63RD ST,,,,,,,,,,,
,,018XX W 65TH ST,,,,,,,,,,,
,,018XX W 69TH ST,,,,,,,,,,,
,,018XX W 71ST ST,,,,,,,,,,,
,,018XX W 72ND ST,,,,,,,,,,,
,,018XX W 73RD ST,,,,,,,,,,,
,,018XX W 74TH ST,,,,,,,,,,,
,,018XX W 76TH ST,,,,,,,,,,,
,,018XX W 77TH ST,,,,,,,,,,,
,,018XX W 78TH ST,,,,,,,,,,,
,,018XX W 79TH ST,,,,,,,,,,,
,,018XX W 80TH ST,,,,,,,,,,,
,,018XX W 82ND ST,,,,,,,,,,,
,,018XX W 87TH ST,,,,,,,,,,,
,,018XX W 88TH ST,,,,,,,,,,,
,,018XX W 95TH ST,,,,,,,,,,,
,,018XX W 98TH ST,,,,,,,,,,,
,,018XX W 99TH ST,,,,,,,,,,,
,,018XX W ADAMS ST,,,,,,,,,,,
,,018XX W ADDISON ST,,,,,,,,,,,
,,018XX W ARGYLE ST,,,,,,,,,,,
,,018XX W ARMITAGE AVE,,,,,,,,,,,
,,018XX W AUGUSTA BLVD,,,,,,,,,,,
,,018XX W Armitage Ave,,,,,,,,,,,
,,018XX W BALMORAL AVE,,,,,,,,,,,
,,018XX W BARRY AVE,,,,,,,,,,,
,,018XX W BELLE PLAINE AVE,,,,,,,,,,,
,,018XX W BELMONT AVE,,,,,,,,,,,
,,018XX W BERENICE AVE,,,,,,,,,,,
,,018XX W BERWYN AVE,,,,,,,,,,,
,,018XX W BIRCHWOOD AVE,,,,,,,,,,,
,,018XX W BLOOMINGDALE AVE,,,,,,,,,,,
,,018XX W CARROLL AVE,,,,,,,,,,,
,,018XX W CERMAK RD,,,,,,,,,,,
,,018XX W CHASE AVE,,,,,,,,,,,
,,018XX W CHICAGO AVE,,,,,,,,,,,
,,018XX W CONGRESS PKWY,,,,,,,,,,,
,,018XX W CORNELIA AVE,,,,,,,,,,,
,,018XX W CORTLAND ST,,,,,,,,,,,
,,018XX W CULLERTON ST,,,,,,,,,,,
,,018XX W CUYLER AVE,,,,,,,,,,,
,,018XX W DEVON AVE,,,,,,,,,,,
,,018XX W DICKENS AVE,,,,,,,,,,,
,,018XX W DIVERSEY PKWY,,,,,,,,,,,
,,018XX W DIVISION ST,,,,,,,,,,,
,,018XX W EDDY ST,,,,,,,,,,,
,,018XX W ELLEN ST,,,,,,,,,,,
,,018XX W ERIE ST,,,,,,,,,,,
,,018XX W ESTES AVE,,,,,,,,,,,
,,018XX W EVERGREEN AVE,,,,,,,,,,,
,,018XX W FARRAGUT AVE,,,,,,,,,,,
,,018XX W FARWELL AVE,,,,,,,,,,,
,,018XX W FOSTER AVE,,,,,,,,,,,
,,018XX W FULLERTON AVE,,,,,,,,,,,
,,018XX W FULTON ST,,,,,,,,,,,
,,018XX W GARFIELD BLVD,,,,,,,,,,,
,,018XX W GRACE ST,,,,,,,,,,,
,,018XX W GRAND AVE,,,,,,,,,,,
,,018XX W GRANVILLE AVE,,,,,,,,,,,
,,018XX W GREENLEAF AVE,,,,,,,,,,,
,,018XX W HADDON AVE,,,,,,,,,,,
,,018XX W HARRISON ST,,,,,,,,,,,
,,018XX W HENDERSON ST,,,,,,,,,,,
,,018XX W HOOD AVE,,,,,,,,,,,
,,018XX W HOWARD ST,,,,,,,,,,,
,,018XX W HUBBARD ST,,,,,,,,,,,
,,018XX W HURON ST,,,,,,,,,,,
,,018XX W IOWA ST,,,,,,,,,,,
,,018XX W IRVING PARK RD,,,,,,,,,,,
,,018XX W JACKSON BLVD,,,,,,,,,,,
,,018XX W JUNEWAY TER,,,,,,,,,,,
